1;51;3;Agurain/Salvatierra;1
2;1;4;Alegría-Dulantzi;1
3;2;9;Amurrio;1
4;49;3;Añana;1
5;3;5;Aramaio;1
6;6;6;Armiñón;1
7;37;6;Arraia-Maeztu;1
8;8;8;Arratzua-Ubarrundia;1
9;4;0;Artziniega;1
10;9;1;Asparrena;1
11;10;5;Ayala/Aiara;1
12;11;2;Baños de Ebro/Mañueta;1
13;13;3;Barrundia;1
14;14;8;Berantevilla;1
15;16;4;Bernedo;1
16;17;0;Campezo/Kanpezu;1
17;21;0;Elburgo/Burgelu;1
18;22;5;Elciego;1
19;23;1;Elvillar/Bilar;1
20;46;8;Erriberagoitia/Ribera Alta;1
21;56;5;Harana/Valle de Arana;1
22;901;5;Iruña Oka/Iruña de Oca;1
23;27;8;Iruraiz-Gauna;1
24;19;9;Kripan;1
25;20;3;Kuartango;1
26;28;4;Labastida/Bastida;1
27;30;1;Lagrán;1
28;31;8;Laguardia;1
29;32;3;Lanciego/Lantziego;1
30;902;0;Lantarón;1
31;33;9;Lapuebla de Labarca;1
32;36;0;Laudio/Llodio;1
33;58;7;Legutio;1
34;34;4;Leza;1
35;39;5;Moreda de Álava/Moreda Araba;1
36;41;6;Navaridas;1
37;42;1;Okondo;1
38;43;7;Oyón-Oion;1
39;44;2;Peñacerrada-Urizaharra;1
40;47;4;Ribera Baja/Erribera Beitia;1
41;52;8;Samaniego;1
42;53;4;San Millán/Donemiliaga;1
43;54;9;Urkabustaiz;1
44;55;2;Valdegovía/Gaubea;1
45;57;1;Villabuena de Álava/Eskuernaga;1
46;59;0;Vitoria-Gasteiz;1
47;60;4;Yécora/Iekora;1
48;61;1;Zalduondo;1
49;62;6;Zambrana;1
50;18;6;Zigoitia;1
51;63;2;Zuia;1
52;1;9;Abengibre;2
53;2;4;Alatoz;2
54;3;0;Albacete;2
55;4;5;Albatana;2
56;5;8;Alborea;2
57;6;1;Alcadozo;2
58;7;7;Alcalá del Júcar;2
59;8;3;Alcaraz;2
60;9;6;Almansa;2
61;10;0;Alpera;2
62;11;7;Ayna;2
63;12;2;Balazote;2
64;14;3;Ballestero, El;2
65;13;8;Balsa de Ves;2
66;15;6;Barrax;2
67;16;9;Bienservida;2
68;17;5;Bogarra;2
69;18;1;Bonete;2
70;19;4;Bonillo, El;2
71;20;8;Carcelén;2
72;21;5;Casas de Juan Núñez;2
73;22;0;Casas de Lázaro;2
74;23;6;Casas de Ves;2
75;24;1;Casas-Ibáñez;2
76;25;4;Caudete;2
77;26;7;Cenizate;2
78;29;2;Chinchilla de Monte-Aragón;2
79;27;3;Corral-Rubio;2
80;28;9;Cotillas;2
81;30;6;Elche de la Sierra;2
82;31;3;Férez;2
83;32;8;Fuensanta;2
84;33;4;Fuente-Álamo;2
85;34;9;Fuentealbilla;2
86;35;2;Gineta, La;2
87;36;5;Golosalvo;2
88;37;1;Hellín;2
89;38;7;Herrera, La;2
90;39;0;Higueruela;2
91;40;4;Hoya-Gonzalo;2
92;41;1;Jorquera;2
93;42;6;Letur;2
94;43;2;Lezuza;2
95;44;7;Liétor;2
96;45;0;Madrigueras;2
97;46;3;Mahora;2
98;47;9;Masegoso;2
99;48;5;Minaya;2
100;49;8;Molinicos;2
101;50;1;Montalvos;2
102;51;8;Montealegre del Castillo;2
103;52;3;Motilleja;2
104;53;9;Munera;2
105;54;4;Navas de Jorquera;2
106;55;7;Nerpio;2
107;56;0;Ontur;2
108;57;6;Ossa de Montiel;2
109;58;2;Paterna del Madera;2
110;60;9;Peñas de San Pedro;2
111;59;5;Peñascosa;2
112;61;6;Pétrola;2
113;62;1;Povedilla;2
114;901;0;Pozo Cañada;2
115;63;7;Pozohondo;2
116;64;2;Pozo-Lorente;2
117;65;5;Pozuelo;2
118;66;8;Recueja, La;2
119;67;4;Riópar;2
120;68;0;Robledo;2
121;69;3;Roda, La;2
122;70;7;Salobre;2
123;71;4;San Pedro;2
124;72;9;Socovos;2
125;73;5;Tarazona de la Mancha;2
126;74;0;Tobarra;2
127;75;3;Valdeganga;2
128;76;6;Vianos;2
129;77;2;Villa de Ves;2
130;78;8;Villalgordo del Júcar;2
131;79;1;Villamalea;2
132;80;5;Villapalacios;2
133;81;2;Villarrobledo;2
134;82;7;Villatoya;2
